year,line,total_passenger
2015,1호선,209611322
2015,2호선,1136532805
2015,3호선,407149170
2015,4호선,447917398
2015,5호선,432004257
2015,6호선,252985992
2015,7호선,525502631
2015,8호선,119346230
2015,9호선,186857064
2015,9호선2단계,15226405
2015,경부선,371997160
2015,경원선,161326962
2015,경의선,62890828
2015,경인선,251311421
2015,경춘선,26958381
2015,공항철도 1호선,63406230
2015,과천선,81579595
2015,분당선,266980352
2015,수인선,20170570
2015,안산선,97430802
2015,일산선,74566197
2015,장항선,11037246
2015,중앙선,72455470
2016,1호선,209253173
2016,2호선,1130426524
2016,3호선,407299680
2016,4호선,448404611
2016,5호선,432061467
2016,6호선,254863612
2016,7호선,520579948
2016,8호선,122631543
2016,9호선,189045279
2016,9호선2단계,25498330
2016,경강선,4123196
2016,경부선,357754278
2016,경원선,161197444
2016,경의선,68772890
2016,경인선,248641765
2016,경춘선,27417864
2016,공항철도 1호선,65153160
2016,과천선,81536219
2016,분당선,263101174
2016,수인선,29761029
2016,안산선,96766400
2016,일산선,76961185
2016,장항선,10988591
2016,중앙선,72915115
2017,1호선,398959454
2017,2호선,2226252506
2017,3호선,813431670
2017,4호선,867280982
2017,5호선,861590286
2017,6호선,510391648
2017,7호선,1020025110
2017,8호선,257502558
2017,9호선,382925874
2017,9호선2단계,55391684
2017,경강선,33396658
2017,경부선,705118638
2017,경원선,318497758
2017,경의선,144760038
2017,경인선,483593758
2017,경춘선,56544264
2017,공항철도 1호선,133110214
2017,과천선,159388152
2017,분당선,532494568
2017,수인선,67327754
2017,안산선,191133706
2017,우이신설선,18130356
2017,일산선,158800238
2017,장항선,22475184
2017,중앙선,143694326
2018,1호선,196615316
2018,2호선,1120273637
2018,3호선,409099330
2018,4호선,421192109
2018,5호선,434307063
2018,6호선,255959341
2018,7호선,510947444
2018,8호선,134434784
2018,9호선,193572786
2018,9호선2~3단계,4375740
2018,9호선2단계,26888891
2018,경강선,18581284
2018,경부선,351776416
2018,경원선,156953542
2018,경의선,73887964
2018,경인선,235644775
2018,경춘선,27826348
2018,공항철도 1호선,74415089
2018,과천선,79257283
2018,분당선,269976956
2018,수인선,32951445
2018,안산선,94298244
2018,우이신설선,29832523
2018,일산선,80349866
2018,장항선,10975449
2018,중앙선,70454511
2019,1호선,200161236
2019,2호선,1127099473
2019,3호선,415110584
2019,4호선,422059263
2019,5호선,440703923
2019,6호선,257362720
2019,7호선,516694675
2019,8호선,139411556
2019,9호선,203031073
2019,9호선2~3단계,60455327
2019,경강선,20173748
2019,경부선,356242087
2019,경원선,157976732
2019,경의선,77684253
2019,경인선,234572651
2019,경춘선,28440938
2019,공항철도 1호선,82792657
2019,과천선,80657892
2019,분당선,277112719
2019,수인선,33677875
2019,안산선,94169739
2019,우이신설선,31739954
2019,일산선,82522907
2019,장항선,11158329
2019,중앙선,71555108
2020,1호선,132923909
2020,2호선,799725081
2020,3호선,295541844
2020,4호선,287173787
2020,5호선,341842279
2020,6호선,186709722
2020,7호선,396263941
2020,8호선,107526282
2020,9호선,152781666
2020,9호선2~3단계,49645106
2020,경강선,15701799
2020,경부선,250662831
2020,경원선,114310555
2020,경의선,58750467
2020,경인선,166578817
2020,경춘선,21326572
2020,공항철도 1호선,52669657
2020,과천선,55300230
2020,분당선,205044950
2020,수인선,26279784
2020,안산선,68663703
2020,우이신설선,24746419
2020,일산선,60752957
2020,장항선,6877542
2020,중앙선,52522254
2021,1호선,128142824
2021,2호선,787069731
2021,3호선,298174971
2021,4호선,282207751
2021,5호선,367307040
2021,6호선,189516649
2021,7호선,402285713
2021,8호선,109484692
2021,9호선,159441609
2021,9호선2~3단계,53804786
2021,경강선,17250729
2021,경부선,259415106
2021,경원선,116937590
2021,경의선,62918500
2021,경인선,167266718
2021,경춘선,23165625
2021,공항철도 1호선,54213807
2021,과천선,56877188
2021,분당선,215996113
2021,수인선,34393913
2021,안산선,71537593
2021,우이신설선,26176634
2021,일산선,62846872
2021,장항선,7827491
2021,중앙선,54360720
2022,1호선,147430160
2022,2호선,889685775
2022,3호선,335375461
2022,4호선,318122650
2022,5호선,411031070
2022,6호선,214650717
2022,7호선,379725996
2022,8호선,121745482
2022,9호선,179791247
2022,9호선2~3단계,63865526
2022,경강선,20689919
2022,경부선,297298449
2022,경원선,131207545
2022,경의선,72706940
2022,경인선,181030789
2022,경춘선,25797647
2022,공항철도 1호선,68257663
2022,과천선,67246825
2022,분당선,243425542
2022,수인선,39461818
2022,신림선,14758648
2022,안산선,79552998
2022,우이신설선,29443816
2022,일산선,69724441
2022,장항선,10596664
2022,중앙선,61308270
2025,1호선,141885151
2025,2호선,771046838
2025,3호선,290356065
2025,4호선,290118290
2025,5호선,356793219
2025,6호선,186000387
2025,7호선,314647530
2025,8호선,111508399
2025,9호선,157480751
2025,9호선2~3단계,63342076
2025,경강선,18669807
2025,경부선,249090158
2025,경원선,110230366
2025,경의선,60402867
2025,경인선,142915200
2025,경춘선,20785878
2025,공항철도 1호선,70001055
2025,과천선,57543031
2025,분당선,202944478
2025,서해선,6307438
2025,수인선,33710843
2025,신림선,26180176
2025,안산선,64350068
2025,우이신설선,25523461
2025,일산선,61733291
2025,장항선,10163098
2025,중앙선,46653339
2026,1호선,63206470
2026,2호선,337920635
2026,3호선,127249066
2026,4호선,127891433
2026,5호선,158440965
2026,6호선,80818498
2026,7호선,139341242
2026,8호선,50129570
2026,9호선,69342942
2026,9호선2~3단계,28010279
2026,경강선,8139309
2026,경부선,109596560
2026,경원선,48350916
2026,경의선,26344352
2026,경인선,61847857
2026,경춘선,8767176
2026,공항철도 1호선,31357038
2026,과천선,25239083
2026,분당선,89227350
2026,서해선,2781812
2026,수인선,14641753
2026,신림선,11338387
2026,안산선,28010822
2026,우이신설선,11125507
2026,일산선,26853820
2026,장항선,4487635
2026,중앙선,19978486
